City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,at taj,24.2049,23.2857,39.61,9,0,4.91,LY,1689956196
126,bondo,3.8146,23.6866,29.06,55,27,1.36,CD,1689956196
127,ola,59.5833,151.2833,11.2,96,73,3.5,RU,1689956197
128,makinsk,52.6292,70.4169,16.25,75,94,3.78,KZ,1689956197
129,angaur state,6.906,134.13,27.9,82,99,5.83,PW,1689956197
130,auki,-8.7676,160.7034,24.78,86,81,1.26,SB,1689956043
131,mar del plata,-38.0023,-57.5575,15.05,97,100,3.58,AR,1689956059
132,machagai,-26.9261,-60.0496,31.22,35,87,7.52,AR,1689956197
133,kone,-21.0595,164.8658,15.91,80,45,0.26,NC,1689955846
134,badger,64.8,-147.5333,18.17,86,20,2.06,US,1689956197
135,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,20,2.0,RU,1689956197
136,la sarre,48.8002,-79.1996,20.47,53,100,5.14,CA,1689956198
137,kingston,17.997,-76.7936,34.02,61,20,11.32,JM,1689956126
138,stanley,54.868,-1.6985,15.95,79,40,3.6,GB,1689955938
139,mount pearl,47.5166,-52.7813,28.58,64,20,7.2,CA,1689956198
140,andratx,39.5755,2.4202,33.58,75,34,0.84,ES,1689956198
141,al jawf,29.5,38.75,37.11,10,0,1.58,SA,1689956155
142,queenstown,-31.8976,26.8753,9.81,67,81,2.07,ZA,1689956024
143,oranjemund,-28.55,16.4333,14.8,50,0,1.86,NA,1689956083
144,aquin,18.2833,-73.4,30.64,65,57,3.82,HT,1689956198
145,margate,51.3813,1.3862,19.39,57,78,2.24,GB,1689955805
146,mbanza kongo,-6.267,14.2401,31.27,30,31,2.49,AO,1689956199
147,piracicaba,-22.7253,-47.6492,26.91,45,0,1.22,BR,1689956199
148,istaravshan,39.9142,69.0033,25.77,25,0,1.14,TJ,1689956199
149,port lincoln,-34.7333,135.8667,12.74,73,100,5.94,AU,1689955976
150,alo,7.4178,6.7371,29.11,79,92,0.5,NG,1689956199
151,piacabucu,-10.4056,-36.4344,26.32,64,10,6.71,BR,1689956199
152,taroudant,30.4703,-8.877,36.55,25,1,7.74,MA,1689956200
153,dunedin,-45.8742,170.5036,7.11,73,7,3.13,NZ,1689956056
154,minot,48.2325,-101.2963,24.12,50,20,2.57,US,1689956105
155,georgetown,5.4112,100.3354,29.97,82,20,1.54,MY,1689956200
156,narva,59.3772,28.1903,19.24,51,84,3.85,EE,1689955706
157,kendari,-3.945,122.4989,23.22,92,4,1.41,ID,1689956200
158,villa gesell,-37.2639,-56.973,19.47,85,100,7.53,AR,1689955901
159,prince george,53.9166,-122.753,19.58,83,75,0.45,CA,1689955732
160,daru,-9.0763,143.2092,24.97,82,100,6.9,PG,1689956200
161,nar'yan-mar,67.6713,53.087,14.73,83,76,7.42,RU,1689956200
162,remire-montjoly,4.9167,-52.2667,32.02,58,16,5.66,GF,1689956201
163,santa elena de uairen,4.6167,-61.1333,27.26,53,10,4.51,VE,1689956201
164,hawaiian paradise park,19.5933,-154.9731,21.73,94,100,2.57,US,1689956201
165,kapuskasing,49.4169,-82.4331,18.05,59,20,4.12,CA,1689955988
166,thompson,55.7435,-97.8558,23.09,56,75,2.06,CA,1689956201
167,paracatu,-17.2222,-46.8747,24.5,48,92,3.79,BR,1689956201
168,vernon,50.2581,-119.2691,27.18,39,69,1.34,CA,1689955952
169,yanchep,-31.55,115.6833,13.67,81,10,1.63,AU,1689956201
170,puerto ayora,-0.7393,-90.3518,28.98,88,92,3.58,EC,1689956202
171,gdov,58.7406,27.8122,18.96,56,82,5.84,RU,1689956202
172,bodo,67.28,14.405,15.99,87,75,2.57,NO,1689956202
173,port-vila,-17.7338,168.3219,20.28,74,89,2.36,VU,1689956202
174,hobyo,5.3505,48.5268,26.39,79,83,12.71,SO,1689956032
175,koutiala,12.3917,-5.4642,36.45,32,84,0.86,ML,1689956202
176,aasiaat,68.7098,-52.8699,4.5,93,100,8.67,GL,1689956202
177,princeville,45.7668,-61.2985,26.46,80,0,4.63,CA,1689956202
178,iola,37.9245,-95.4,23.03,88,40,4.12,US,1689956202
179,port macquarie,-31.4333,152.9167,7.16,74,3,5.09,AU,1689956045
180,pangody,65.85,74.4859,19.47,72,95,3.92,RU,1689956203
181,halifax,44.6453,-63.5724,22.41,92,82,4.12,CA,1689956167
182,nemuro,43.3236,145.575,14.82,97,8,4.55,JP,1689956203
183,bratsk,56.1325,101.6142,17.27,67,0,1.49,RU,1689956203
184,olonets,60.9847,32.9698,14.68,88,100,4.04,RU,1689956203
185,faya-largeau,17.9257,19.1043,39.89,22,66,3.37,TD,1689956203
186,vilyuchinsk,52.9306,158.4028,12.15,93,45,4.12,RU,1689956203
187,northam,51.0333,-4.2167,17.44,64,78,5.75,GB,1689956043
188,revda,56.801,59.9303,16.91,68,60,3.8,RU,1689956204
189,bukama,-9.2,25.85,31.16,20,16,2.64,CD,1689956204
190,hami,42.8,93.45,32.21,14,0,4.58,CN,1689956204
191,thunder bay,48.4001,-89.3168,23.95,53,20,2.06,CA,1689956204
192,lebu,-37.6167,-73.65,11.73,88,100,6.05,CL,1689956204
193,petrolina,-9.3986,-40.5008,30.03,32,75,6.17,BR,1689956204
194,bama,11.5221,13.6856,35.67,32,41,4.62,NG,1689956204
195,khandyga,62.6667,135.6,13.05,95,100,1.07,RU,1689956205
196,quibala,-10.7337,14.98,27.33,31,24,4.63,AO,1689956205
197,sakakah,29.9697,40.2064,40.76,8,0,3.02,SA,1689956144
